2019-11-04 14:19:49.9687 | INFO | ArchitecturePrimer.Controllers.HomeController | Homepage start
2019-11-04 14:19:50.1024 | INFO | MediatR.IPipelineBehavior`2[[ArchitecturePrimer.Application.Home.Queries.GetHomeQuery, ArchitecturePrimer.Application, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null],[ArchitecturePrimer.Application.ViewModels.Home.HomeViewModel, ArchitecturePrimer.Application, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]][] | Request from GetHomeQuery : ArchitecturePrimer.Application.Home.Queries.GetHomeQuery
2019-11-04 14:19:51.9355 | WARN | MediatR.IPipelineBehavior`2[[ArchitecturePrimer.Application.Home.Queries.GetHomeQuery, ArchitecturePrimer.Application, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null],[ArchitecturePrimer.Application.ViewModels.Home.HomeViewModel, ArchitecturePrimer.Application, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]][] | Northwind Long Running Request: "GetHomeQuery" (1836 milliseconds) "ArchitecturePrimer.Application.Home.Queries.GetHomeQuery"
2019-11-04 14:19:51.9923 | INFO | ArchitecturePrimer.Controllers.HomeController | Homepage has model
2019-11-04 14:22:31.1163 | INFO | HomeController | Homepage start
2019-11-04 14:22:31.2699 | INFO | 0, Culture=neutral, PublicKeyToken=null]][] | Request from GetHomeQuery : ArchitecturePrimer.Application.Home.Queries.GetHomeQuery
2019-11-04 14:22:32.8976 | WARN | 0, Culture=neutral, PublicKeyToken=null]][] | Northwind Long Running Request: "GetHomeQuery" (1631 milliseconds) "ArchitecturePrimer.Application.Home.Queries.GetHomeQuery"
2019-11-04 14:22:32.9275 | INFO | HomeController | Homepage has model
2019-11-04 14:36:52.0000 | INFO | 0, Culture=neutral, PublicKeyToken=null]][] | Request from GetHomeQuery : ArchitecturePrimer.Application.Home.Queries.GetHomeQuery
2019-11-04 14:36:54.0036 | WARN | 0, Culture=neutral, PublicKeyToken=null]][] | Detected Long Running Request: "GetHomeQuery" (2011 milliseconds) "ArchitecturePrimer.Application.Home.Queries.GetHomeQuery"
2019-11-04 14:36:54.0585 | ERROR | HomeController | Home model is null
2019-11-04 14:38:08.4896 | INFO | 0, Culture=neutral, PublicKeyToken=null]][] | Request from GetHomeQuery : ArchitecturePrimer.Application.Home.Queries.GetHomeQuery
2019-11-04 14:38:09.6714 | INFO | 0, Culture=neutral, PublicKeyToken=null]][] | Request from GetHomeQuery : ArchitecturePrimer.Application.Home.Queries.GetHomeQuery
2019-11-04 14:38:10.3107 | INFO | 0, Culture=neutral, PublicKeyToken=null]][] | Request from GetHomeQuery : ArchitecturePrimer.Application.Home.Queries.GetHomeQuery
2019-11-04 14:38:10.6578 | INFO | 0, Culture=neutral, PublicKeyToken=null]][] | Request from GetHomeQuery : ArchitecturePrimer.Application.Home.Queries.GetHomeQuery
2019-11-04 14:41:59.5871 | INFO | 0, Culture=neutral, PublicKeyToken=null]][] | Request from GetHomeQuery : ArchitecturePrimer.Application.Home.Queries.GetHomeQuery
2019-11-04 14:41:59.7268 | INFO | 0, Culture=neutral, PublicKeyToken=null]][] | Request from GetHomeQuery : ArchitecturePrimer.Application.Home.Queries.GetHomeQuery
2019-11-04 14:41:59.8674 | INFO | 0, Culture=neutral, PublicKeyToken=null]][] | Request from GetHomeQuery : ArchitecturePrimer.Application.Home.Queries.GetHomeQuery
2019-11-04 14:42:00.0569 | INFO | 0, Culture=neutral, PublicKeyToken=null]][] | Request from GetHomeQuery : ArchitecturePrimer.Application.Home.Queries.GetHomeQuery
